direccion_estacion;margen_estacion;tipo_estacion;horario_estacion;latitud_estacion;longitud_estacion;nombre_localidad;nombre_empresa
POLIGONO PLAZA MOSQUERA, 6;D;Terrestre;L-D: 24H;38.751972;-0.042083;ALCALALI;REPSOL 
CALLE ALICANTE, 62;D;Terrestre;L-D: 05:00-23:00;38.688639;-0.479611;ALCOY/ALCOI;SHELL
CALLE ALACANT, 58;N;Terrestre;L-D: 24H;38.689278;-0.480306;ALCOY/ALCOI;BALLENOIL
CALLE ALICANTE, 62;D;Terrestre;L-D: 24H;38.689083;-0.479694;ALCOY/ALCOI;MASOIL ALCOY
CALLE ALACANT, 101;D;Terrestre;L-D: 24H;38.683806;-0.471194;ALCOY/ALCOI;PLENOIL 
CALLE VALENCIA ESQ C/SANT JOAN BOSCO, 1;D;Terrestre;L-D: 24H;38.711556;-0.46625;ALCOY/ALCOI;GASEXPRESS
Alicante, 1 - P.I. Beniata;N;Terrestre;L-D: 24H;38.695083;-0.477972;ALCOY/ALCOI;GASOLINERA ALCOY 
PG COTES BAIXES,CALLE C,PARC.1, 0;D;Terrestre;L-D: 06:00-22:00;38.714361;-0.462528;ALCOY/ALCOI;REPSOL
AVENIDA TIRANT, S/N;D;Terrestre;L-D: 06:00-22:00;38.70875;-0.472556;ALCOY/ALCOI;REPSOL
N-340 km 131,000;N;Terrestre;L-D: 06:00-22:00;38.683389;-0.471306;ALCOY/ALCOI;GALP
